date,value,indicator,source,unit,frequency
2023-03-31,12754.51360560317,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-03-31,12136.109450184842,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-03-31,11341.228818351126,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-06-30,10069.459850761728,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-06-30,10917.309793337,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-06-30,10724.706760246954,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-09-30,10344.314250057889,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-09-30,10940.878411433578,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-09-30,11285.872434022827,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-12-31,13690.712293577211,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-12-31,14657.702345044578,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
2023-12-31,13880.173541477656,FBCF - Otros edificios y estructuras (AN112),DANE - Cuentas Nacionales (Cuadro 5),"(según anexo, valores en constantes)",Trimestral
