horizon,impulse,response,value,method
0,ipoc_total,ipoc_total,1.0,regularized_cholesky_eps_1e-08
0,ipoc_total,iioc_total,0.0,regularized_cholesky_eps_1e-08
0,ipoc_total,empleo_construccion,0.0,regularized_cholesky_eps_1e-08
0,iioc_total,ipoc_total,0.0,regularized_cholesky_eps_1e-08
0,iioc_total,iioc_total,1.0,regularized_cholesky_eps_1e-08
0,iioc_total,empleo_construccion,0.0,regularized_cholesky_eps_1e-08
0,empleo_construccion,ipoc_total,0.0,regularized_cholesky_eps_1e-08
0,empleo_construccion,iioc_total,0.0,regularized_cholesky_eps_1e-08
0,empleo_construccion,empleo_construccion,1.0,regularized_cholesky_eps_1e-08
1,ipoc_total,ipoc_total,-0.0011207873974616424,regularized_cholesky_eps_1e-08
1,ipoc_total,iioc_total,-1.001140866528829,regularized_cholesky_eps_1e-08
1,ipoc_total,empleo_construccion,-7.664761089926121,regularized_cholesky_eps_1e-08
1,iioc_total,ipoc_total,0.003591499725312248,regularized_cholesky_eps_1e-08
1,iioc_total,iioc_total,3.0794309003849554,regularized_cholesky_eps_1e-08
1,iioc_total,empleo_construccion,23.564497599533226,regularized_cholesky_eps_1e-08
1,empleo_construccion,ipoc_total,0.006291175016961866,regularized_cholesky_eps_1e-08
1,empleo_construccion,iioc_total,-0.018298936566525925,regularized_cholesky_eps_1e-08
1,empleo_construccion,empleo_construccion,-0.6530750427507663,regularized_cholesky_eps_1e-08
2,ipoc_total,ipoc_total,-0.051814694462671465,regularized_cholesky_eps_1e-08
2,ipoc_total,iioc_total,-2.941565076978623,regularized_cholesky_eps_1e-08
2,ipoc_total,empleo_construccion,-18.577126802001153,regularized_cholesky_eps_1e-08
2,iioc_total,ipoc_total,0.1593041285106618,regularized_cholesky_eps_1e-08
2,iioc_total,iioc_total,9.04809382630265,regularized_cholesky_eps_1e-08
2,iioc_total,empleo_construccion,57.14832879548518,regularized_cholesky_eps_1e-08
2,empleo_construccion,ipoc_total,-0.004181381088481344,regularized_cholesky_eps_1e-08
2,empleo_construccion,iioc_total,-0.050698084334632354,regularized_cholesky_eps_1e-08
2,empleo_construccion,empleo_construccion,-0.05291858881192031,regularized_cholesky_eps_1e-08
3,ipoc_total,ipoc_total,-0.12737851293308208,regularized_cholesky_eps_1e-08
3,ipoc_total,iioc_total,-8.666530920489809,regularized_cholesky_eps_1e-08
3,ipoc_total,empleo_construccion,-56.787098060926326,regularized_cholesky_eps_1e-08
3,iioc_total,ipoc_total,0.39184781881144587,regularized_cholesky_eps_1e-08
3,iioc_total,iioc_total,26.657740201528387,regularized_cholesky_eps_1e-08
3,iioc_total,empleo_construccion,174.67060989334072,regularized_cholesky_eps_1e-08
3,empleo_construccion,ipoc_total,-0.0005103158206001658,regularized_cholesky_eps_1e-08
3,empleo_construccion,iioc_total,-0.15096674210432046,regularized_cholesky_eps_1e-08
3,empleo_construccion,empleo_construccion,-1.1280657898845776,regularized_cholesky_eps_1e-08
4,ipoc_total,ipoc_total,-0.38824065179500983,regularized_cholesky_eps_1e-08
4,ipoc_total,iioc_total,-25.521315775669027,regularized_cholesky_eps_1e-08
4,ipoc_total,empleo_construccion,-166.15988470870903,regularized_cholesky_eps_1e-08
4,iioc_total,ipoc_total,1.1941854656726654,regularized_cholesky_eps_1e-08
4,iioc_total,iioc_total,78.50208763567382,regularized_cholesky_eps_1e-08
4,iioc_total,empleo_construccion,511.09981904970175,regularized_cholesky_eps_1e-08
4,empleo_construccion,ipoc_total,-0.007638484372069707,regularized_cholesky_eps_1e-08
4,empleo_construccion,iioc_total,-0.443738348211686,regularized_cholesky_eps_1e-08
4,empleo_construccion,empleo_construccion,-2.816832369126754,regularized_cholesky_eps_1e-08
5,ipoc_total,ipoc_total,-1.1365655788689026,regularized_cholesky_eps_1e-08
5,ipoc_total,iioc_total,-75.16189564533153,regularized_cholesky_eps_1e-08
5,ipoc_total,empleo_construccion,-489.9063386816738,regularized_cholesky_eps_1e-08
5,iioc_total,ipoc_total,3.4960202109390175,regularized_cholesky_eps_1e-08
5,iioc_total,iioc_total,231.19362337016867,regularized_cholesky_eps_1e-08
5,iioc_total,empleo_construccion,1506.9225731819465,regularized_cholesky_eps_1e-08
5,empleo_construccion,ipoc_total,-0.0193063104663126,regularized_cholesky_eps_1e-08
5,empleo_construccion,iioc_total,-1.3072693454644366,regularized_cholesky_eps_1e-08
5,empleo_construccion,empleo_construccion,-8.558321163564868,regularized_cholesky_eps_1e-08
6,ipoc_total,ipoc_total,-3.3507565977523766,regularized_cholesky_eps_1e-08
6,ipoc_total,iioc_total,-221.35323671817278,regularized_cholesky_eps_1e-08
6,ipoc_total,empleo_construccion,-1442.4952028073126,regularized_cholesky_eps_1e-08
6,iioc_total,ipoc_total,10.306727184332367,regularized_cholesky_eps_1e-08
6,iioc_total,iioc_total,680.8696984973545,regularized_cholesky_eps_1e-08
6,iioc_total,empleo_construccion,4437.031899348433,regularized_cholesky_eps_1e-08
6,empleo_construccion,ipoc_total,-0.058515315517037834,regularized_cholesky_eps_1e-08
6,empleo_construccion,iioc_total,-3.849709105071453,regularized_cholesky_eps_1e-08
6,empleo_construccion,empleo_construccion,-25.06794113611795,regularized_cholesky_eps_1e-08
7,ipoc_total,ipoc_total,-9.866224385092279,regularized_cholesky_eps_1e-08
7,ipoc_total,iioc_total,-651.891289472677,regularized_cholesky_eps_1e-08
7,ipoc_total,empleo_construccion,-4248.337450260866,regularized_cholesky_eps_1e-08
7,iioc_total,ipoc_total,30.34793591983313,regularized_cholesky_eps_1e-08
7,iioc_total,iioc_total,2005.1797376343136,regularized_cholesky_eps_1e-08
7,iioc_total,empleo_construccion,13067.638976995377,regularized_cholesky_eps_1e-08
7,empleo_construccion,ipoc_total,-0.17146745096742216,regularized_cholesky_eps_1e-08
7,empleo_construccion,iioc_total,-11.337614437265184,regularized_cholesky_eps_1e-08
7,empleo_construccion,empleo_construccion,-73.89670832267382,regularized_cholesky_eps_1e-08
8,ipoc_total,ipoc_total,-29.057243877827865,regularized_cholesky_eps_1e-08
8,ipoc_total,iioc_total,-1919.836642548176,regularized_cholesky_eps_1e-08
8,ipoc_total,empleo_construccion,-12511.385311215385,regularized_cholesky_eps_1e-08
8,iioc_total,ipoc_total,89.37839275554784,regularized_cholesky_eps_1e-08
8,iioc_total,iioc_total,5905.30598931846,regularized_cholesky_eps_1e-08
8,iioc_total,empleo_construccion,38484.29455216571,regularized_cholesky_eps_1e-08
8,empleo_construccion,ipoc_total,-0.5054239858143383,regularized_cholesky_eps_1e-08
8,empleo_construccion,iioc_total,-33.3895059842503,regularized_cholesky_eps_1e-08
8,empleo_construccion,empleo_construccion,-217.59083519803366,regularized_cholesky_eps_1e-08
9,ipoc_total,ipoc_total,-85.57384047911484,regularized_cholesky_eps_1e-08
9,ipoc_total,iioc_total,-5653.968840270078,regularized_cholesky_eps_1e-08
9,ipoc_total,empleo_construccion,-36846.39562557386,regularized_cholesky_eps_1e-08
9,iioc_total,ipoc_total,263.2201630943028,regularized_cholesky_eps_1e-08
9,iioc_total,iioc_total,17391.279713345793,regularized_cholesky_eps_1e-08
9,iioc_total,empleo_construccion,113337.37247284249,regularized_cholesky_eps_1e-08
9,empleo_construccion,ipoc_total,-1.488253955054807,regularized_cholesky_eps_1e-08
9,empleo_construccion,iioc_total,-98.33299497861992,regularized_cholesky_eps_1e-08
