horizon,impulse,response,value,method
0,iioc_total,iioc_total,1.0,standard_irf
0,iioc_total,empleo_construccion,0.0,standard_irf
0,empleo_construccion,iioc_total,0.0,standard_irf
0,empleo_construccion,empleo_construccion,1.0,standard_irf
1,iioc_total,iioc_total,-0.3728828902080921,standard_irf
1,iioc_total,empleo_construccion,0.582987813813731,standard_irf
1,empleo_construccion,iioc_total,-0.011343891167178877,standard_irf
1,empleo_construccion,empleo_construccion,-0.37557758756972925,standard_irf
2,iioc_total,iioc_total,0.13242829949824558,standard_irf
2,iioc_total,empleo_construccion,-0.4363433376656727,standard_irf
2,empleo_construccion,iioc_total,0.00849045420284631,standard_irf
2,empleo_construccion,empleo_construccion,0.13444517397300315,standard_irf
3,iioc_total,iioc_total,-0.04443041572824567,standard_irf
3,iioc_total,empleo_construccion,0.24108486292414932,standard_irf
3,empleo_construccion,iioc_total,-0.004691076523838953,standard_irf
3,empleo_construccion,empleo_construccion,-0.0455447627671701,standard_irf
4,iioc_total,iioc_total,0.013832501382829534,standard_irf
4,iioc_total,empleo_construccion,-0.11644846214887603,standard_irf
4,empleo_construccion,iioc_total,0.002265877004462157,standard_irf
4,empleo_construccion,empleo_construccion,0.014370751679463585,standard_irf
5,iioc_total,iioc_total,-0.0038369244132347097,standard_irf
5,iioc_total,empleo_construccion,0.05179961223083099,standard_irf
5,empleo_construccion,iioc_total,-0.0010079270093222912,standard_irf
5,empleo_construccion,empleo_construccion,-0.00407635356613437,standard_irf
6,iioc_total,iioc_total,0.000843114301068332,standard_irf
6,iioc_total,empleo_construccion,-0.02169165357414318,standard_irf
6,empleo_construccion,iioc_total,0.0004220804475680644,standard_irf
6,empleo_construccion,empleo_construccion,0.0009433778748013949,standard_irf
7,iioc_total,iioc_total,-6.831513997690818e-05,standard_irf
7,iioc_total,empleo_construccion,0.008638424282949909,standard_irf
7,empleo_construccion,iioc_total,-0.00016808815313077647,standard_irf
7,empleo_construccion,empleo_construccion,-0.00010824382900333907,standard_irf
8,iioc_total,iioc_total,-7.251979808213911e-05,standard_irf
8,iioc_total,empleo_construccion,-0.0032842254466996118,standard_irf
8,empleo_construccion,iioc_total,6.39051025648769e-05,standard_irf
8,empleo_construccion,empleo_construccion,-5.733938875531461e-05,standard_irf
