horizon,impulse,response,value,method
0,iioc_total,iioc_total,1.0,standard_irf
0,iioc_total,empleo_construccion,0.0,standard_irf
0,empleo_construccion,iioc_total,0.0,standard_irf
0,empleo_construccion,empleo_construccion,1.0,standard_irf
1,iioc_total,iioc_total,-0.1312052173084808,standard_irf
1,iioc_total,empleo_construccion,-0.2958830583805061,standard_irf
1,empleo_construccion,iioc_total,-0.012806880272374088,standard_irf
1,empleo_construccion,empleo_construccion,0.20766093703257946,standard_irf
2,iioc_total,iioc_total,0.02100414795226869,standard_irf
2,iioc_total,empleo_construccion,-0.022621952182649094,standard_irf
2,empleo_construccion,iioc_total,-0.0009791592486447214,standard_irf
2,empleo_construccion,empleo_construccion,0.04691240367255194,standard_irf
3,iioc_total,iioc_total,-0.002466137163326337,standard_irf
3,iioc_total,empleo_construccion,-0.010912467322549019,standard_irf
3,empleo_construccion,iioc_total,-0.0004723307351256158,standard_irf
3,empleo_construccion,empleo_construccion,0.010031590338223317,standard_irf
4,iioc_total,iioc_total,0.0004633247249028324,standard_irf
4,iioc_total,empleo_construccion,-0.0015364049832671109,standard_irf
4,empleo_construccion,iioc_total,-6.65011196594998e-05,standard_irf
4,empleo_construccion,empleo_construccion,0.0022229241120385046,standard_irf
5,iioc_total,iioc_total,-4.111406654468742e-05,standard_irf
5,iioc_total,empleo_construccion,-0.00045614123511432945,standard_irf
5,empleo_construccion,iioc_total,-1.9743429101268658e-05,standard_irf
5,empleo_construccion,empleo_construccion,0.0004812910587288113,standard_irf
6,iioc_total,iioc_total,1.123612622083311e-05,standard_irf
6,iioc_total,empleo_construccion,-8.255776055133804e-05,standard_irf
6,empleo_construccion,iioc_total,-3.573396059657515e-06,standard_irf
6,empleo_construccion,empleo_construccion,0.00010578709842642925,standard_irf
7,iioc_total,iioc_total,-4.169310275736125e-07,standard_irf
7,iioc_total,empleo_construccion,-2.0468601305971677e-05,standard_irf
7,empleo_construccion,iioc_total,-8.859544973724995e-07,standard_irf
7,empleo_construccion,empleo_construccion,2.3025155340126325e-05,standard_irf
8,iioc_total,iioc_total,3.168424523439833e-07,standard_irf
8,iioc_total,empleo_construccion,-4.1271660993721516e-06,standard_irf
8,empleo_construccion,iioc_total,-1.7863855534062804e-07,standard_irf
8,empleo_construccion,empleo_construccion,5.043564259519873e-06,standard_irf
